time,lux
39.986,546.89
40.083,513.68
40.180,656.38
40.281,409.67
40.380,782.05
40.482,514.84
40.580,567.22
40.680,656.38
40.782,713.19
40.882,758.32
40.982,830.00
41.082,866.04
41.180,823.33
41.283,820.79
41.381,866.04
41.482,843.21
41.582,879.63
41.683,889.27
41.781,820.79
41.883,818.26
41.982,863.42
42.079,886.60
42.181,886.60
42.279,886.60
42.383,863.42
42.481,863.42
42.582,850.00
42.681,840.64
42.781,840.64
42.883,840.64
42.982,879.63
43.079,856.56
43.181,814.17
43.281,836.47
43.380,818.26
43.481,818.26
43.579,818.26
43.679,811.65
43.783,796.29
43.881,755.92
43.981,753.53
44.077,735.08
44.179,735.08
44.281,735.08
44.382,714.63
44.480,702.81
44.581,694.56
44.680,677.10
44.778,638.76
44.880,633.15
44.982,620.14
45.081,620.14
45.181,601.89
45.281,584.00
45.380,573.67
45.481,584.00
45.581,601.89
45.682,638.76
45.780,677.10
45.880,728.93
45.976,737.44
46.079,737.44
46.178,728.93
46.279,696.83
46.380,669.06
46.480,638.76
46.581,633.15
46.679,620.14
46.780,620.14
46.881,603.96
46.979,601.89
47.079,603.96
47.180,614.65
47.281,620.14
47.379,638.76
47.480,652.03
47.578,659.93
47.680,671.27
47.779,677.10
47.880,690.89
47.976,690.89
48.076,690.89
48.177,696.83
48.279,708.59
48.378,716.94
48.478,716.94
48.578,728.93
48.678,728.93
48.777,710.89
48.880,708.59
48.979,696.83
49.079,696.83
49.179,696.83
49.280,708.59
49.379,708.59
49.480,710.89
49.578,716.94
49.680,728.93
49.779,731.27
49.880,737.44
49.979,749.65
50.079,749.65
50.181,752.04
50.280,749.65
50.381,749.65
50.478,749.65
50.580,749.65
50.680,749.65
50.780,749.65
50.880,737.44
50.979,749.65
51.078,749.65
51.178,749.65
51.279,749.65
51.380,755.92
51.475,768.34
51.577,770.76
51.676,770.76
51.777,789.80
51.878,792.27
51.980,792.27
52.075,811.65
52.178,814.17
52.278,814.17
52.378,827.21
52.478,827.21
52.580,829.76
