time,lux
39.911,226.28
40.011,175.87
40.111,164.41
40.212,189.49
40.311,177.44
40.411,168.12
40.510,172.69
40.612,170.44
40.711,170.44
40.811,165.82
40.911,172.69
41.011,168.12
41.110,165.82
41.210,182.17
41.301,192.00
41.411,179.75
41.510,170.44
41.610,175.05
41.710,175.05
41.810,168.12
41.910,168.12
42.010,163.63
42.110,168.12
42.210,196.99
42.310,164.41
42.410,171.24
42.510,179.75
42.610,187.94
42.710,175.96
42.810,155.64
42.910,179.75
43.010,196.99
43.109,147.84
43.210,224.54
43.310,171.24
43.410,185.47
43.510,181.60
43.609,190.44
43.710,213.62
43.810,194.44
43.909,167.49
44.009,174.49
44.109,171.24
44.209,186.41
44.309,212.98
44.409,195.50
44.509,165.82
44.609,161.37
44.709,166.70
44.809,203.17
44.909,200.56
45.009,216.34
45.108,196.99
45.209,171.24
45.308,208.35
45.404,180.67
45.499,171.24
45.603,208.35
45.709,195.41
45.809,187.94
45.909,192.87
46.009,195.78
46.109,137.64
46.209,171.24
46.308,183.11
46.409,179.75
46.509,141.65
46.607,220.14
46.708,149.15
46.802,219.09
46.899,157.84
46.996,162.23
47.096,175.05
47.198,183.11
47.296,175.96
47.396,187.00
47.496,179.75
47.596,182.17
47.701,175.05
47.802,169.00
47.902,166.70
48.002,173.59
48.102,169.00
48.203,183.11
48.308,183.11
48.408,156.92
48.508,156.92
48.608,172.69
48.708,170.35
48.808,190.44
48.908,183.11
49.007,185.47
49.107,192.96
49.207,168.92
49.300,172.69
49.402,175.05
49.505,192.96
49.608,166.70
49.708,168.12
49.807,161.37
49.908,175.05
50.008,179.75
50.108,167.49
50.208,187.35
50.308,173.03
50.408,216.34
50.508,165.82
50.602,168.92
50.702,195.41
50.798,159.90
50.897,187.00
50.998,162.15
51.098,226.68
51.198,172.69
51.298,204.69
51.398,225.61
51.497,130.93
51.597,162.15
51.697,189.49
51.798,203.17
51.897,183.11
51.995,172.69
52.095,170.35
52.195,194.44
52.298,172.69
52.396,148.42
52.496,175.05
52.598,168.12
52.698,165.82
52.798,192.00
52.898,136.11
52.998,142.93
53.097,159.99
53.198,188.89
53.298,181.60
53.397,204.17
53.497,210.00
53.595,145.73
53.695,164.41
53.794,258.32
53.895,216.34
53.993,209.37
54.095,219.09
54.195,212.69
54.295,184.62
54.395,164.95
54.494,191.04
54.595,171.88
54.694,162.76
54.795,162.76
54.895,153.97
54.995,164.95
55.095,159.14
55.195,161.37
55.297,170.35
55.393,134.87
55.494,200.56
55.593,172.69
55.695,208.35
55.795,212.69
55.896,235.82
55.997,163.01
56.095,191.91
56.195,177.35
56.296,178.26
56.394,216.34
56.495,153.38
56.594,189.49
56.694,155.56
56.795,238.72
56.895,194.53
56.994,165.91
57.094,203.17
57.195,134.19
57.294,165.82
57.394,192.00
57.494,159.14
57.594,117.85
57.694,187.94
57.794,190.44
57.894,174.49
57.994,213.08
58.094,116.11
58.195,227.35
58.294,212.69
58.394,166.70
58.494,216.34
58.594,157.00
58.694,189.49
58.794,210.00
58.894,170.35
58.994,207.34
59.094,172.69
59.194,175.05
59.293,172.69
59.394,175.05
59.494,175.05
59.594,182.17
59.694,177.44
59.794,170.44
59.894,177.44
59.994,170.44
60.094,163.63
60.194,170.44
60.294,182.17
60.394,175.05
60.494,168.12
60.594,175.05
60.694,179.75
60.794,184.62
60.894,196.99
60.994,189.49
61.094,182.17
61.194,166.70
61.294,204.69
61.397,179.75
61.493,175.87
61.594,178.35
61.694,155.56
61.794,195.41
61.894,197.36
61.994,154.21
62.094,187.94
62.194,147.03
62.294,204.69
62.397,226.28
62.496,212.69
62.596,213.62
62.696,202.07
62.796,196.99
62.896,179.75
62.996,169.89
63.098,156.92
63.196,161.37
63.296,163.54
63.396,221.75
63.496,232.94
63.596,211.03
63.696,196.99
63.796,185.47
63.896,173.03
63.996,197.97
64.096,196.99
64.196,190.44
64.296,172.69
64.396,211.03
64.496,210.00
64.592,211.03
64.694,179.18
64.793,194.44
64.894,182.09
64.993,171.24
65.093,189.49
65.193,202.17
65.296,187.09
65.396,184.62
65.496,161.37
65.595,175.05
65.696,182.17
65.796,168.12
65.893,175.05
65.993,165.82
66.093,172.69
66.193,175.05
66.293,175.05
66.393,170.44
66.493,172.69
66.593,168.12
66.693,168.12
66.794,172.69
66.894,165.82
66.994,184.62
67.093,154.73
67.196,162.15
67.299,178.35
67.398,136.11
67.495,172.69
67.596,155.56
67.696,184.62
67.796,154.81
67.897,184.62
67.995,192.00
68.096,171.24
68.196,187.94
68.296,202.54
68.396,224.54
68.496,142.93
68.596,157.76
68.696,166.70
68.796,231.84
68.896,189.49
68.996,177.44
69.096,192.96
69.195,183.11
69.296,179.75
69.396,170.35
69.496,198.96
69.596,219.09
69.695,156.48
69.795,189.49
69.896,192.96
69.995,171.33
70.095,169.80
70.195,184.04
70.295,151.30
70.395,204.69
70.495,147.84
70.595,217.39
70.696,160.84
70.792,165.19
70.893,227.35
70.995,228.43
71.095,195.50
71.196,187.00
71.295,189.49
71.392,179.84
71.493,194.53
71.593,197.97
71.693,169.00
71.793,175.96
71.893,212.69
71.993,216.34
72.093,224.54
72.192,165.28
72.293,224.54
72.392,185.47
72.493,210.39
72.593,201.55
72.692,194.53
72.793,192.00
72.893,156.92
72.992,200.56
73.092,192.96
73.192,172.69
73.292,172.69
73.392,199.57
73.492,195.50
73.591,192.00
73.693,208.35
73.793,183.11
73.893,185.47
73.992,176.78
74.092,129.05
74.192,222.91
74.292,228.43
74.392,214.66
74.492,162.15
74.592,159.90
74.692,208.35
74.792,149.15
74.892,248.61
74.992,177.44
75.092,189.49
75.192,181.60
75.291,190.44
75.392,176.78
75.492,179.75
75.592,196.99
75.692,145.01
75.792,201.55
75.892,226.28
75.992,161.37
76.092,184.62
76.192,150.48
76.292,163.54
76.392,165.82
76.492,192.00
76.592,172.69
76.694,187.00
76.794,147.03
76.891,178.26
76.992,189.49
77.092,165.82
77.192,164.41
77.292,196.38
77.392,178.26
77.492,211.03
77.592,216.34
77.692,237.61
77.792,201.18
77.892,133.36
77.992,219.09
78.092,172.78
78.192,160.52
78.291,201.18
78.392,167.24
78.492,186.15
78.591,162.76
78.691,162.76
78.791,167.24
78.892,167.24
78.992,159.66
79.092,158.29
79.192,199.57
79.291,167.24
79.392,169.55
79.492,165.03
79.592,169.55
79.691,162.76
79.791,183.69
79.891,143.42
79.991,188.63
80.090,169.55
80.191,183.69
80.292,139.31
80.390,179.75
80.491,150.48
80.591,159.14
80.692,172.69
80.791,182.17
80.891,152.63
80.992,196.99
81.091,151.81
81.191,189.49
81.289,189.49
81.389,183.69
81.490,152.63
81.589,167.24
81.691,167.24
81.791,174.15
81.891,158.29
81.991,190.44
82.091,182.17
82.191,179.75
82.291,144.21
82.391,211.03
82.491,142.14
82.589,199.57
82.691,184.62
82.791,177.44
82.891,168.12
82.991,168.12
83.091,149.97
83.191,165.82
83.291,188.54
83.391,176.52
83.491,169.55
83.591,174.15
83.691,176.52
83.791,181.25
83.891,194.53
83.991,194.53
84.090,160.52
84.189,160.52
84.291,178.92
84.390,174.15
84.491,174.15
84.591,167.24
84.691,169.55
84.791,167.24
84.891,186.15
84.991,171.88
85.090,162.76
85.191,181.25
85.291,160.52
85.391,176.52
85.490,167.24
85.591,151.81
85.689,198.58
85.791,125.74
85.891,220.80
85.991,176.52
86.090,211.03
86.191,184.04
86.290,218.04
86.390,160.52
86.490,160.52
86.591,181.34
86.690,145.51
86.790,136.11
86.890,130.25
86.990,180.67
87.090,156.92
87.190,161.29
87.290,142.14
87.390,136.11
87.490,175.96
87.590,194.53
87.690,223.58
87.791,206.33
87.890,143.42
87.990,173.25
88.090,167.24
88.190,182.17
88.290,187.09
88.390,167.24
88.490,201.18
88.592,156.16
88.690,168.12
88.790,130.25
88.890,176.52
88.990,163.54
89.090,127.58
89.190,179.84
89.290,147.03
89.390,149.15
89.490,204.79
89.590,142.14
89.690,173.59
89.789,148.34
89.890,184.62
89.990,194.53
90.090,152.63
90.190,146.31
90.290,191.04
90.389,181.25
90.490,163.54
90.590,165.82
90.690,166.70
90.790,159.14
90.890,179.75
90.990,155.56
91.090,170.35
91.190,173.59
91.290,182.17
91.390,171.80
91.490,181.25
91.588,193.56
91.690,178.92
91.790,162.76
91.890,158.37
91.990,169.55
92.090,156.16
92.190,191.04
92.289,172.69
92.390,164.95
92.490,177.44
92.590,160.52
92.689,171.80
92.790,165.82
92.890,177.44
92.990,149.66
93.089,170.35
93.189,215.70
93.289,180.67
93.389,166.70
93.489,189.49
93.589,238.72
93.689,220.80
93.790,210.00
93.889,192.00
93.990,154.73
94.090,170.44
94.189,179.75
94.290,149.66
94.389,218.04
94.489,173.59
94.588,170.35
94.689,151.81
94.789,151.81
94.889,144.21
94.989,218.04
95.089,163.54
95.189,194.53
95.289,186.15
95.389,158.29
95.489,171.80
95.589,203.79
95.689,189.49
95.789,163.54
95.889,159.90
95.989,166.70
96.089,161.37
96.188,167.24
96.288,156.16
96.389,163.54
96.489,192.00
96.589,148.34
96.689,191.04
96.789,178.92
96.889,176.52
96.989,178.92
97.089,192.00
97.189,202.17
97.289,193.56
97.389,183.69
97.489,193.56
97.589,160.52
97.689,162.76
97.789,169.55
97.889,162.76
97.989,169.55
98.089,162.76
98.189,162.76
98.289,167.24
98.389,174.15
98.489,167.24
