time,lux
0.053,2.26
0.158,2.26
0.256,2.26
0.367,2.26
0.464,2.26
0.564,2.26
0.664,2.26
0.764,2.26
0.865,2.26
0.964,2.26
1.066,2.26
1.165,2.26
1.266,2.26
1.367,2.26
1.465,2.26
1.565,2.26
1.665,2.26
1.759,2.26
1.865,2.26
1.965,2.26
2.065,2.89
2.166,4.76
2.266,5.28
2.365,5.46
2.465,6.03
2.566,7.01
2.665,7.68
2.766,7.91
2.864,7.91
2.964,8.51
3.065,7.91
3.166,7.50
3.265,7.50
3.361,7.50
3.465,7.50
3.562,6.94
3.661,6.67
3.761,6.67
3.853,6.94
3.961,7.50
4.060,6.94
4.161,6.94
4.261,6.94
4.361,6.94
4.461,7.50
4.553,7.50
4.656,7.50
4.761,6.94
4.860,7.50
4.957,7.50
5.062,7.50
5.161,6.94
5.261,7.50
5.361,7.50
5.459,6.94
5.561,6.84
5.660,5.97
5.761,4.58
5.860,3.25
5.960,3.19
6.061,3.36
6.161,3.36
6.260,3.36
6.361,3.36
6.461,3.36
6.562,3.36
6.660,3.89
6.764,3.70
6.858,3.89
6.960,3.89
7.057,3.70
7.160,3.70
7.259,3.89
7.360,3.46
7.459,3.46
7.560,3.53
7.660,3.53
7.760,3.89
7.860,3.53
7.961,3.53
8.059,3.53
8.163,3.53
8.260,3.53
8.361,3.53
8.461,3.53
8.560,3.53
8.660,3.96
8.759,4.03
8.860,4.03
8.961,4.03
9.059,4.03
9.156,4.23
9.255,4.63
9.360,4.23
9.458,4.23
9.560,4.23
9.659,4.03
9.761,4.23
9.859,4.03
9.959,4.03
10.063,4.03
10.165,4.03
10.257,3.46
10.361,2.63
10.465,3.08
10.564,3.14
10.663,3.31
10.764,3.65
10.857,3.31
10.960,3.31
11.060,3.31
11.159,3.14
11.253,3.14
11.360,3.08
11.464,3.08
11.560,3.08
11.659,3.08
11.762,3.14
11.859,3.14
11.958,3.14
12.060,3.14
12.158,3.14
12.258,3.14
12.356,3.14
12.459,3.14
12.558,3.14
12.658,3.65
12.759,3.65
12.853,3.65
12.958,3.65
13.057,3.65
13.159,3.65
13.258,3.65
13.355,3.65
13.461,3.08
13.559,2.63
13.656,2.58
13.760,2.58
13.859,2.58
13.960,2.58
14.058,2.58
14.160,2.44
14.257,2.18
14.362,2.18
14.456,2.18
14.559,2.18
14.658,2.44
14.759,2.44
14.859,2.44
14.959,2.44
15.058,2.44
15.158,2.18
15.258,2.18
15.360,2.18
15.458,2.18
15.558,2.44
15.657,2.58
15.764,3.14
15.862,3.14
15.963,3.14
16.062,3.47
16.161,3.65
16.262,3.65
16.362,3.65
16.463,3.65
16.556,3.65
16.663,3.65
16.763,3.65
16.862,3.65
16.963,3.65
17.063,3.31
17.163,3.54
17.261,2.54
17.361,2.02
17.462,1.54
17.563,1.54
17.661,1.75
17.762,1.68
17.862,1.68
17.963,1.68
18.062,1.44
18.157,1.44
18.254,1.44
18.359,1.44
18.458,1.44
18.557,1.44
18.658,1.35
18.758,1.35
18.857,1.35
18.958,1.35
19.058,1.35
19.157,1.35
19.257,1.35
19.357,1.35
19.459,1.35
19.557,1.35
19.657,1.35
19.757,1.35
19.857,1.35
19.959,1.35
20.057,1.35
20.159,1.35
20.258,1.35
20.357,1.35
20.458,1.35
20.560,1.35
20.657,1.35
20.760,1.35
20.857,1.35
20.958,1.35
21.058,1.35
21.157,1.35
21.262,1.35
21.354,1.35
21.463,1.35
21.562,1.35
21.661,1.35
21.761,1.35
21.862,1.35
21.960,1.35
22.062,1.35
22.162,1.44
22.261,1.44
22.362,1.54
22.456,1.54
22.556,1.98
22.658,2.49
22.756,2.92
22.857,3.14
22.956,3.14
23.057,3.14
23.156,3.14
23.258,3.65
23.356,3.65
23.458,3.65
23.557,3.65
23.656,3.65
23.756,3.65
23.858,3.65
23.957,3.31
24.056,4.78
24.155,5.53
24.255,4.57
24.355,3.90
24.456,3.72
24.556,3.72
24.655,3.72
24.758,3.14
24.856,3.14
24.956,2.98
25.056,2.98
25.157,2.98
25.258,2.98
25.359,2.98
25.458,2.98
25.550,2.98
25.657,2.98
25.757,2.98
25.857,2.98
25.956,2.98
26.056,2.98
26.157,2.98
26.256,2.98
26.355,2.98
26.455,2.98
26.556,2.98
26.656,3.04
26.755,2.98
26.855,3.04
26.957,2.98
27.055,3.04
27.157,2.98
27.251,3.21
27.358,3.54
27.455,3.72
27.555,4.36
27.656,5.30
27.759,6.27
27.856,5.44
27.956,3.90
28.055,3.83
28.156,3.90
28.254,4.28
28.354,4.28
28.456,4.28
28.557,4.28
28.655,4.49
28.755,4.49
28.856,4.49
28.957,4.49
29.056,4.49
29.157,4.49
29.261,4.49
29.361,4.28
29.461,4.28
29.561,3.83
29.660,4.09
29.759,4.09
29.860,3.48
29.959,2.93
30.059,3.24
30.159,2.93
30.259,2.78
30.354,2.93
30.461,3.24
30.558,3.24
30.659,3.24
30.760,3.24
30.859,3.24
30.954,3.24
31.055,3.24
31.155,3.24
31.255,3.24
31.357,3.24
31.456,3.24
31.556,3.24
31.655,3.24
31.758,3.24
31.855,3.31
31.953,3.65
32.055,5.53
32.156,9.01
32.256,9.13
32.356,9.80
32.455,8.81
32.556,9.80
32.655,10.29
32.756,14.32
32.856,16.16
32.955,16.65
33.057,17.15
33.157,16.96
33.255,16.46
33.357,17.96
33.458,17.96
33.556,17.96
33.657,17.96
33.757,17.96
33.861,17.96
33.960,17.96
34.060,17.96
34.160,17.96
34.261,17.96
34.361,17.96
34.462,17.96
34.560,17.96
34.660,17.96
34.760,17.96
34.861,17.96
34.960,17.96
35.060,17.96
35.161,17.76
35.260,17.76
35.360,17.96
35.460,17.96
35.560,17.96
35.660,17.96
35.762,17.96
35.855,17.96
35.956,17.96
36.056,17.96
36.162,17.96
36.253,17.76
36.362,17.76
36.461,17.76
36.560,17.76
36.649,17.76
36.761,17.76
36.861,17.76
36.961,17.76
37.060,17.76
37.160,17.76
37.262,17.76
37.359,17.76
37.460,17.76
37.559,17.76
37.661,17.76
37.760,17.76
37.860,17.76
37.959,17.96
38.059,17.96
38.163,18.48
38.260,17.96
38.359,17.96
38.459,17.96
38.559,17.96
38.659,46.84
38.762,42.49
38.859,21.02
38.959,29.20
39.061,19.91
39.158,17.27
39.260,17.78
39.349,18.81
39.459,18.81
39.559,18.81
39.659,18.81
39.750,18.81
39.859,18.81
39.956,18.81
40.056,18.28
40.156,18.28
40.256,18.28
40.356,18.28
40.456,18.28
40.556,17.96
40.656,17.96
40.756,17.96
40.856,17.96
40.956,17.96
41.055,17.96
41.156,17.76
41.255,17.76
41.356,17.76
41.456,17.96
41.556,17.96
41.657,17.76
41.755,17.96
41.856,17.96
41.956,17.96
42.056,17.96
42.156,17.96
42.256,17.96
42.356,17.96
42.456,17.96
42.554,17.96
42.655,17.96
42.756,47.96
42.856,38.07
42.955,31.38
43.056,16.77
43.157,16.77
43.252,16.77
43.356,17.27
43.454,17.27
43.549,18.28
43.654,18.48
43.754,18.48
43.855,18.48
43.956,18.48
44.055,18.48
44.153,18.48
44.256,18.48
44.354,18.48
44.455,18.48
44.555,18.48
44.653,18.48
44.755,18.48
44.855,18.48
44.954,18.48
45.055,17.96
45.154,17.96
45.255,18.48
45.355,17.96
45.456,17.96
45.554,17.96
45.656,17.96
45.755,17.96
45.855,17.96
45.955,17.96
46.054,17.96
46.154,17.96
46.256,17.96
46.355,17.96
46.454,17.96
46.556,17.96
46.656,17.96
46.756,17.96
46.856,17.96
46.954,17.96
47.055,17.96
47.154,17.96
47.254,17.96
47.354,30.46
47.454,21.46
47.553,16.77
47.654,19.02
47.755,19.02
47.854,19.02
47.955,19.02
48.055,19.02
48.154,19.02
48.253,19.02
48.355,19.02
48.455,19.02
48.555,19.02
48.652,19.02
48.755,19.02
48.854,19.02
48.954,19.02
49.053,19.02
49.154,17.46
49.254,16.77
49.353,16.96
49.453,17.46
49.548,17.46
49.655,17.46
49.754,19.02
49.853,17.96
49.954,17.96
50.055,17.96
50.154,17.96
50.253,17.96
50.355,17.96
50.453,20.31
50.554,20.88
50.653,23.48
50.754,29.48
50.854,35.47
50.959,33.59
51.050,35.89
51.153,39.47
51.254,40.91
51.346,38.30
51.455,34.68
51.553,35.18
51.653,29.84
51.752,29.56
51.852,24.82
51.952,33.60
52.057,36.00
52.154,37.03
52.257,40.16
52.352,41.06
52.454,43.79
52.555,49.61
52.657,50.24
52.756,67.71
52.857,78.51
52.957,79.04
53.056,61.65
53.158,70.70
53.256,81.48
53.358,87.25
53.457,78.66
53.547,82.02
53.659,93.89
53.756,102.84
53.856,118.42
53.956,127.72
54.057,125.81
54.157,100.17
