time,lux
0.036,2.48
0.136,2.48
0.237,2.48
0.336,2.48
0.432,2.48
0.536,2.48
0.632,2.48
0.736,2.54
0.835,2.48
0.935,2.48
1.035,2.48
1.135,2.48
1.235,2.35
1.335,2.35
1.436,2.35
1.535,2.35
1.632,2.35
1.732,2.35
1.841,2.35
1.941,2.35
2.036,2.35
2.139,2.35
2.241,2.35
2.333,2.35
2.439,2.35
2.539,2.35
2.640,2.35
2.740,2.35
2.839,2.35
2.941,2.35
3.038,2.35
3.139,2.35
3.240,2.35
3.341,2.48
3.439,2.48
3.540,2.48
3.639,2.48
3.739,2.48
3.839,2.48
3.937,2.48
4.041,2.48
4.137,2.35
4.238,2.48
4.339,2.48
4.436,2.48
4.538,2.48
4.637,2.48
4.741,2.48
4.838,2.48
4.939,2.48
5.039,2.35
5.140,2.35
5.241,2.35
5.341,2.35
5.440,2.35
5.536,2.48
5.640,2.35
5.739,2.35
5.842,2.35
5.937,2.35
6.038,2.35
6.138,2.35
6.240,2.35
6.338,2.48
6.439,2.48
6.538,2.48
6.639,2.54
6.738,2.54
6.840,2.54
6.938,2.54
7.039,2.54
7.138,2.54
7.235,2.54
7.337,2.54
7.435,2.54
7.536,2.54
7.638,2.54
7.737,2.54
7.838,2.54
7.939,2.54
8.039,2.54
8.139,2.54
8.238,2.54
8.339,2.54
8.437,2.54
8.539,2.54
8.640,2.54
8.737,2.54
8.838,2.54
8.937,2.54
9.037,2.54
9.138,2.54
9.238,2.54
9.338,2.48
9.437,2.48
9.537,2.35
9.637,2.48
9.737,2.48
9.837,2.48
9.936,2.35
10.038,2.35
10.137,2.35
10.236,2.35
10.337,2.35
10.440,2.35
10.539,2.35
10.635,2.35
10.735,2.48
10.838,2.48
10.936,2.48
11.036,2.48
11.139,2.48
11.239,2.35
11.335,2.35
11.437,2.35
11.537,2.35
11.638,2.35
11.736,2.35
11.838,2.35
11.938,2.35
12.037,2.35
12.137,2.35
12.236,2.35
12.338,2.35
12.437,2.35
12.538,2.35
12.637,2.35
12.735,2.35
12.837,2.35
12.936,2.35
13.037,2.35
13.139,2.35
13.238,2.35
13.338,2.35
13.439,2.35
13.536,2.35
13.636,2.35
13.736,2.35
13.834,2.35
13.937,2.35
14.036,2.35
14.137,2.35
14.239,2.35
14.340,2.35
14.438,2.35
14.538,2.35
14.639,2.35
14.736,2.35
14.832,2.35
14.936,2.35
15.037,2.09
15.137,2.09
15.230,2.09
15.337,2.09
15.439,2.09
15.539,2.09
15.637,2.09
15.738,2.35
15.839,2.35
15.938,2.35
16.036,2.35
16.135,2.35
16.235,2.35
16.337,2.09
16.436,2.35
16.536,2.35
16.636,2.35
16.738,2.35
16.837,2.35
16.936,2.48
17.036,2.35
17.135,5.61
17.235,18.46
17.338,6.61
17.436,4.76
17.537,4.28
17.638,3.08
17.735,3.30
17.836,3.83
17.937,4.61
18.038,3.30
18.137,4.40
18.238,3.83
18.335,4.01
18.436,4.01
18.535,3.30
18.636,3.14
18.737,3.14
18.835,2.92
18.935,2.62
19.037,2.35
19.135,2.35
19.236,2.35
19.335,2.35
19.437,2.35
19.531,2.35
19.632,2.35
19.737,2.48
19.835,2.48
19.934,2.35
20.034,2.35
20.134,2.35
20.237,2.35
20.337,2.35
20.436,2.35
20.538,2.35
20.636,2.48
20.736,2.48
20.835,2.48
20.936,2.54
21.034,2.54
21.134,10.50
21.237,18.46
21.337,13.22
21.430,10.36
21.536,3.71
21.634,3.14
21.735,3.64
21.836,4.48
21.933,3.64
22.036,4.48
22.132,3.64
22.236,3.14
22.337,3.14
22.436,3.14
22.535,3.30
22.635,3.14
22.732,3.14
22.835,3.14
22.932,3.30
23.035,3.64
23.136,3.64
23.236,3.64
23.333,3.64
23.435,3.90
23.536,2.54
23.635,2.48
23.735,2.54
23.836,2.48
23.935,2.35
24.035,2.48
24.134,2.54
24.235,2.54
24.335,2.54
24.436,2.54
24.535,2.54
24.637,2.48
24.732,2.54
24.834,2.54
24.932,2.54
25.033,2.35
25.133,2.35
25.234,2.35
25.334,2.35
25.436,2.35
25.536,2.35
25.634,2.35
25.733,2.35
25.834,24.06
25.935,9.67
26.035,2.48
26.135,5.35
26.234,3.83
26.334,4.40
26.433,4.01
26.534,4.48
26.633,4.48
26.735,4.69
26.836,4.69
26.935,4.48
27.035,4.48
27.136,4.40
27.234,4.40
27.336,4.40
27.434,4.40
27.533,4.61
27.631,3.94
27.734,3.76
27.836,3.76
27.934,3.76
28.033,3.94
28.132,3.76
28.235,2.09
28.334,2.09
28.435,2.35
28.533,2.35
28.635,2.09
28.736,2.09
28.834,2.35
28.932,2.35
29.036,2.35
29.133,2.35
29.233,2.35
29.335,2.35
29.434,2.35
29.531,2.35
29.633,2.35
29.733,2.35
29.834,2.35
29.935,2.35
30.035,2.35
30.133,2.35
30.234,2.35
30.332,2.35
30.432,2.48
30.532,2.48
30.634,2.48
30.733,2.48
30.833,2.54
30.934,2.54
31.034,2.54
31.133,2.54
31.231,2.54
31.332,2.54
31.435,2.54
31.533,2.54
31.633,2.54
31.734,2.54
31.835,2.54
31.932,2.54
32.031,2.54
32.133,2.54
32.233,2.54
32.333,2.54
32.434,2.54
32.534,2.54
32.631,2.54
32.735,2.54
32.835,2.54
32.932,2.54
33.032,2.54
33.133,2.54
33.232,2.54
33.330,2.98
33.432,2.98
33.533,2.98
33.634,2.98
33.733,3.04
33.833,3.04
33.935,3.04
34.034,3.04
34.133,3.04
34.232,3.04
34.334,3.53
34.432,3.53
34.533,3.60
34.632,3.60
34.731,3.60
34.829,3.60
34.931,3.53
35.031,3.53
35.131,3.53
35.231,3.53
35.329,3.71
35.432,3.71
35.531,3.71
35.630,3.71
35.734,3.14
35.831,3.14
35.931,3.14
36.033,3.14
36.133,3.14
36.231,3.53
36.332,9.45
36.432,7.55
36.532,5.36
36.631,5.36
36.730,5.13
36.833,5.13
36.931,5.13
37.031,5.13
37.131,5.13
37.231,5.04
37.333,5.04
37.431,5.13
37.531,5.13
37.634,5.13
37.732,5.13
37.833,11.49
37.933,9.10
38.033,6.68
38.131,8.04
38.230,8.97
38.330,7.92
38.431,7.92
38.532,6.07
38.633,5.82
38.732,6.96
38.831,6.96
38.932,6.96
39.032,6.96
39.132,6.96
39.230,6.96
39.331,6.96
39.433,6.96
39.533,6.96
39.628,6.68
39.731,6.96
39.830,7.06
39.929,6.96
40.032,6.96
40.131,6.96
40.231,7.06
40.332,7.06
40.430,7.06
40.530,7.06
40.630,7.06
40.730,6.96
40.833,6.96
40.931,5.92
41.033,5.82
41.131,6.17
41.231,6.17
41.331,6.17
41.430,6.68
41.530,6.96
41.631,6.96
41.731,7.06
41.831,7.06
41.930,7.92
42.030,8.97
42.130,9.30
42.231,9.30
42.330,10.11
42.430,9.98
42.531,4.62
42.629,5.13
42.730,5.13
42.830,5.82
42.929,5.92
43.033,6.17
43.131,6.17
43.229,6.68
43.328,6.68
43.432,7.62
43.533,7.62
43.630,7.06
43.729,6.68
43.832,8.97
43.930,20.47
44.029,143.45
44.131,345.71
44.230,650.07
44.329,1150.30
44.432,1615.85
44.530,1972.53
44.631,1873.92
44.730,1838.36
44.827,1641.57
44.928,1909.94
45.029,2009.80
45.128,2236.31
45.231,2256.88
45.329,2392.20
45.428,2475.43
45.529,2429.34
45.631,2383.82
45.729,2429.34
45.829,2480.72
45.929,2480.72
46.029,2532.83
46.130,2439.80
46.229,2299.53
46.330,2343.97
46.431,2394.15
46.530,2439.80
46.631,2480.72
46.731,2486.02
46.829,2499.96
46.928,2532.83
47.030,2552.33
47.129,2585.66
47.229,2599.96
47.330,2628.19
47.430,2642.65
47.528,2691.40
47.628,2740.74
47.732,2805.72
47.830,2898.24
47.930,2882.86
48.030,2682.33
48.131,2599.96
48.229,2682.33
48.326,2682.33
48.433,2682.33
48.529,2725.92
48.627,2725.92
48.728,2725.92
48.829,2725.92
48.928,2746.40
49.030,2746.40
49.129,2781.39
49.230,2796.41
49.328,2796.41
49.427,2831.82
49.527,2802.15
49.628,2781.39
49.729,2746.40
49.831,2731.56
49.929,2781.39
50.029,2802.15
50.130,2781.39
50.228,2781.39
50.329,2802.15
50.431,2831.82
50.530,2787.11
50.630,2772.13
50.727,2772.13
50.829,2787.11
50.929,2787.11
51.029,2781.39
51.130,2737.21
51.230,2731.56
51.329,2687.92
51.427,2667.73
51.525,2633.70
51.625,2633.70
51.728,2585.66
51.829,2585.66
51.928,2585.66
52.028,2585.66
52.129,2580.22
52.230,2538.20
52.328,2538.20
52.429,2491.33
52.530,2491.33
52.629,2486.02
52.729,2486.02
52.829,2439.80
52.929,2439.80
53.029,2434.57
53.130,2394.15
53.229,2388.98
53.326,2343.97
53.426,2343.97
53.526,2343.97
53.627,2343.97
